Country Name,GDP growth (annual %),GDP (constant 2015 US$),GDP per capita (constant 2015 US$),"Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)","Manufacturing, value added (% of GDP)","Services, value added (% of GDP)"
Jordan,-1.551384466,41108073617,4028.963007,5.202224694,23.91352892,17.27052799,61.58789838
Kazakhstan,-2.5,2.06E+11,10974.96367,5.391282693,33.09779715,13.07253218,56.10278089
Kenya,-0.316182729,83859109643,1559.551464,23.04756667,17.3768845,7.610467859,53.56153897
"Korea, Rep.",-0.852031429,1.62E+12,31361.08387,1.832292167,32.58263032,24.81069263,57.12124404
Kosovo,-5.340275302,7144367590,4024.138854,7.362009758,27.55845663,13.35206942,47.63788539
Kuwait,-8.685261653,1.04E+11,24429.22046,0.45747338,45.42635661,6.607085674,69.05806172
Kyrgyz Republic,-8.616551031,7238139485,1098.085364,13.50678414,29.45682629,17.00886362,49.62604319
Lao PDR,0.50303183,18584865506,2554.425463,16.20896116,32.16080853,7.624202326,40.72627629
Latvia,-3.618565992,29604557971,15568.66194,4.018183066,19.45361344,10.84456884,63.53914095
Lebanon,-21.46426628,36736829868,5382.337125,3.005143793,6.861343579,3.113351241,87.16042953
Lesotho,-9.614037019,2105770361,982.970426,6.263557347,29.96989414,16.04583341,52.39066395
Lithuania,-0.132431461,48091287110,17208.03203,3.237022606,24.97836326,15.69968689,61.60565904
Luxembourg,-1.776240229,66091291203,104529.3444,0.204381308,11.17596999,4.62501933,79.72118276
Madagascar,-7.140611591,12244773576,442.1929571,25.12129502,19.45927062,9.721529046,49.63064813
Malaysia,-5.646944836,3.44E+11,10631.50739,8.194521409,35.92554029,22.27918156,54.76777224
Maldives,-33.4999021,3600460153,6660.833299,7.998459898,11.82954543,2.485905714,70.75916662
Mali,-1.235450447,15830713923,781.7314548,36.18804497,21.15737885,6.786425649,34.42646454
Malta,-7.001129615,12886270021,24531.95888,0.647389618,13.43891117,7.740707053,76.1437624
Marshall Islands,-2.207605402,207699800,3508.798189,21.76203784,12.80360497,3.436111238,67.16779349
Mauritania,-1.763321794,7206774163,1549.957236,20.18792117,28.84449742,6.089224057,42.46046731
Mauritius,-14.89468757,11465335041,9058.207089,3.408255215,16.62795677,10.71139328,68.23887808
Mexico,-8.309034659,1.15E+12,8909.677654,3.80364226,29.68082398,17.27864014,60.15749205
"Micronesia, Fed. Sts.",-1.765415152,326589259,2839.388103,22.49743711,4.860521123,0.492631259,66.79355136
Moldova,-6.969047157,8517409876,3250.305715,9.624368799,23.03343109,10.4905179,54.48982248
Mongolia,-4.557751973,13528524725,4126.699124,12.9656563,37.04967085,7.756164685,40.4904558
Montenegro,-15.30689376,4046328370,6512.617568,7.554892152,17.29468088,4.110353118,57.99604296
Morocco,-6.29325316,1.06E+11,2818.771657,11.68228974,26.13221774,15.27111455,50.82178315
Mozambique,-1.233905711,17959222232,574.5951778,25.57742107,21.78210895,8.119068752,41.48120313
Namibia,-8.500149038,10285277742,4047.862166,9.151546947,26.31742012,11.115939,59.05399522
Nepal,-2.088378695,29966137024,1028.463277,23.12677377,11.79744213,4.441241747,53.31086657
Netherlands,-3.798635993,8.08E+11,46327.67159,1.5823121,17.77388935,10.76584656,69.84958036
Nicaragua,-1.977329393,12734736954,1922.35386,15.77343562,25.06005294,12.88642349,49.34702341
Niger,3.580006403,12649312791,522.5555831,38.38472532,20.15125756,7.318952243,36.17351885
Nigeria,-1.794253082,4.94E+11,2396.036462,24.14330587,28.22050552,12.66726516,46.38612747
North Macedonia,-5.208444057,10602899915,5115.918611,9.093537748,22.61517146,12.50086595,56.98950317
Norway,-0.717182669,4.04E+11,75017.15675,1.805389927,26.03381598,6.509326328,60.32085982
Oman,-3.20093599,80394695533,15743.22429,2.564517263,47.47732227,7.976935518,54.72083538
Pakistan,-0.935389533,3.20E+11,1446.811977,23.13084896,17.72122733,11.46573689,53.84072451
Palau,-9.737417943,239735275.7,13250.89961,3.298409003,13.38766007,1.008925107,73.72914241
Panama,-17.944864,52520697209,12172.31082,2.769708256,22.88808287,5.776713046,70.0526884
Paraguay,-0.565695447,40446808661,5670.751986,11.03308058,33.70157585,18.47710987,48.2755003
Peru,-11.14881188,1.91E+11,5792.18794,7.509277358,30.49025724,12.2015467,54.11825444
Philippines,-9.573029875,3.58E+11,3269.670767,10.18480808,28.39812771,17.67205735,61.41706421
Poland,-2.540658682,5.56E+11,14640.8093,2.502174795,27.68239052,16.02475828,57.84048007
Portugal,-8.442456428,2.04E+11,19747.3593,2.105402639,19.35930393,11.86209062,65.65194297
